Ticker,Company,Industry,Catalyst
DOCN,"DigitalOcean Holdings, Inc.","Technology
Cloud Infrastructure","Cloud Infrastructure
DigitalOcean provides cloud computing infrastructure and platform services tailored to developers, startups, and small-to-midsize businesses. Its offerings include compute, storage, networking, managed databases, and AI-related cloud services."
OSS,"One Stop Systems, Inc.","Technology
Computer Hardware","Drones & Autonomous Military Vehicles
 One Stop Systems designs rugged high-performance computing, storage, and networking systems for edge AI, autonomy, and defense. Its hardware supports autonomous and defense-oriented unmanned platforms."
ECG,"Everus Construction Group, Inc.","Industrials
Engineering & Construction","Power Shortage for AI
 Everus Construction Group provides electrical, mechanical, transmission, and distribution contracting services. Grid, transmission, and power-distribution buildouts are directly linked to the growing energy needs of AI infrastructure."
FIX,Comfort Systems USA,"Industrials
Engineering & Construction","Data center forAI 
Comfort Systems  provides  contracting services, including installation, maintenance, repair for commercial, industrial, and institutional building markets.  link to AI  via demand for data centers, high-tech facilities, and smart buildings that need advanced mechanical and electrical infrastructure"
BE,Bloom Energy ,Industrials energy storage,"Power Shortage for AI 
Bloom Energy's solid-oxide fuel cell servers provide reliable, high-efficiency on-site power generation for data centers, directly addressing the surging power demand driven by AI infrastructure buildout."
MITK,Mitek Systems,"Technology
Software"," AI Fraud Protection / Identity 
Mitek provides digital identity verification, biometric liveness, and fraud prevention software used by banks, fintechs, telecoms, and marketplaces. Its products directly address synthetic identity abuse, deepfake risk, and AI-driven fraud."
AMKR,Amkor ,"Technology
Semiconductors","AI Chips
 Amkor provides advanced semiconductor packaging for AI chips including high-bandwidth memory (HBM) packaging and system-in-package (SiP) modules used in AI accelerators and data center GPUs. Directly serves fabless AI chipmakers and major foundries. part of moving chip making to America"
TTMI,TTM ,"Technology
Electronic Components","AI Chips 
TTM Technologies manufactures printed circuit boards, radio frequency components, and electronics assemblies. Serves aerospace and defense, networking, data center, and industrial markets. TTM positions itself as a leading PCB supplier for AI, hyperscale servers, cloud, and high?end computing, explicitly marketing complex boards and backplanes for AI workloads"
KTOS,Kratos ,"
Aerospace & Defense","Drones & Autonomous Military Vehicles 
Kratos Defense provides unmanned systems, propulsion, satellites, microwave electronics, and missile defense technologies. Its unmanned platforms and defense electronics directly fit the autonomous military vehicle theme."
COHR,Coherent ,"Technology
Communication Equipment","AI High speed networking
 Coherent supplies optical transceivers, photonic components, and related materials used in high-speed AI data center interconnects. Its business is directly leveraged to the optical networking layer of the AI infrastructure buildout."
EZPW,EZCORP,Financials,EZCORP operates pawn stores that provide collateralized consumer loans and sell pre-owned merchandise. The company has operations in the United States and Latin America.
VRT,Vertiv ,"Industrials
Electrical Equipment & Parts","AI cooling 
Vertiv provides critical digital infrastructure including power systems and thermal management for data centers. Its products directly address the power and cooling bottlenecks created by AI data-center expansion."
DELL,Dell ,"Technology
Computer Hardware","AI Data centers 
Dell Technologies sells AI-optimized servers, storage, networking, and IT infrastructure used in hyperscale and enterprise AI data centers. Its record AI server revenue and backlog tie the company directly to the AI hardware buildout."
AMPX,Amprius ,"Industrials
Electrical Equipment & Parts","Drones & Autonomous Military Vehicles 
Amprius develops high-energy-density lithium-ion batteries targeted at aviation, defense, and drones. Its lightweight, high-performance cells are directly relevant to longer-range unmanned and autonomous platforms."
BWXT,"BWX Technologies, ","Industrials
Aerospace & Defense
","Power Shortage for AI
 BWX Technologies supplies nuclear components, fuel, and services for government and commercial customers. Nuclear power and related fuel-cycle infrastructure are increasingly relevant as AI data centers drive higher power demand."
IDN,Intellicheck,"Technology
Software","AI Fraud Protection / Identity
 Intellicheck provides digital identity verification and fraud prevention software. Its solutions are directly relevant to preventing identity fraud and AI-enabled impersonation or document abuse."
VIAV,Viavi Solutions ,"Technology
Communication Equipment","AI elecrtonics
Viavi  provides network test, measurement, optical security, and anti-counterfeiting solutions. Serves telecom, cloud, aerospace, government, and industrial customers.It is explicitly marketing test solutions for AI infrastructure development, manufacturing, and deployment, including lab systems that qualify optical components and connectivity for AI data center networks"
TSM,Taiwan Semiconductor ,"Technology
Semiconductor","AI Chips
 TSMC manufactures leading-edge semiconductors for fabless chip companies. It is the core foundry partner for many of the world’s most important AI chip and accelerator designers."
IPGP,IPG Photonics ,"Industrials
Specialty Industrial Machinery","Drones & Autonomous Military Vehicles 
IPG Photonics develops and manufactures high-power fiber lasers, amplifiers, and laser systems. Its products are used in industrial manufacturing, medical, scientific, communications, and defense applications."
STRL,"Sterling Infrastructure, Inc.","Industrials
Engineering & Construction","AI Infrastructure
Sterling Infrastructure provides e-infrastructure, transportation, and building solutions. Its projects include data centers, highways, residential development, and civil construction.
It  has been strategically pivoted toward “AI factories”: hyperscaler data centers and advanced manufacturing projects that require heavy power, cooling, and underground utilities"
PLPC,Preformed Line Products Company,"Industrials
Electrical Equipment & Parts","Power Shortage for AI
Preformed Line Products supplies hardware used in electric transmission, distribution, and communications infrastructure. Grid upgrades and utility network expansion are relevant to the rising power demand driven by AI infrastructure."
